---,Cost,KillBonus,BaseDamage,ArmourDamage,ArmourPenetration,HelmetDamage,HelmetBleed,Weight,FalloffModifier,MinFalloffDist,MaxFalloffDist
flash,400,1200,0,0,0,0,0,0,0.85,500,4000
flash_ru,400,1200,0,0,0,0,0,0,0.85,500,4000
grenade_us,600,0,0,80,90,0,0,0,1,500,4000
smoke_us,300,0,0,0,0,0,0,0,1,500,4000
grenade_ger,600,0,0,80,90,0,100,0,1,500,4000
smoke_ger,300,0,0,0,0,0,0,0,1,500,4000
grenade_svt,600,0,0,80,90,0,0,0,1,500,4000
smoke_svt,300,0,0,0,0,0,0,0,1,500,4000
grenade,600,0,0,80,90,0,0,0,1,500,4000
grenade_ru,600,0,0,80,90,0,0,0,1,500,4000
armour,650,0,50,10,0,0,75,0,1,500,4000
kevlarhelmet,1000,0,50,10,0,0,75,0,1,500,4000
supp_pistol,250,0,0,0,0,0,0,0,1,500,4000
supp_rifle,500,0,0,0,0,0,0,0,1,500,4000
scope,400,0,0,0,0,0,0,0,1,500,4000
grip_angled,300,0,0,0,0,0,0,0,1,500,4000
grip_vertical,300,0,0,0,0,0,0,0,1,500,4000
flashlight_rifle,400,0,0,0,0,0,0,0,1,500,4000
laser_rifle,500,0,0,0,0,0,0,0,1,500,4000
laser_pistol,400,0,0,0,0,0,0,0,1,500,4000
acog,400,0,0,0,0,0,0,0,1,500,4000
holo,500,0,0,0,0,0,0,0,1,500,4000
reddot,500,0,0,0,0,0,0,0,1,500,4000
painkillers,500,0,0,0,0,0,0,0,1,500,4000
knife,100,1200,0,0,0,0,0,0,1,500,4000
taser,500,500,10,10,0,0,0,0,1,500,4000
newtonlauncher,1600,0,30,0,0,0,100,0,1,500,4000
tttknife,100,0,50,10,0,0,75,0,1,500,4000
healthstation,1000,0,50,10,0,0,75,0,1,500,4000
monocular,500,0,50,10,0,0,75,0,1,500,4000
teleporter,1000,0,50,10,0,0,75,0,1,500,4000
ballisticsshield,1200,0,50,10,0,0,75,0,1,500,4000
flaregun,600,0,1,0,0,0,1,0,1,500,4000
dnascanner,500,0,50,10,0,0,75,0,1,500,4000
silentcet9,650,500,25,25,50,80,50,0,1,500,2000
detectivesmg,2200,0,20,30,10,100,25,0,0.75,500,2000
tttc4,4000,0,50,10,100,0,75,0,1,500,4000
goldengun,3500,0,200,200,100,100,100,0,1,500,4000
grenade_dis,500,0,50,10,0,0,75,0,1,500,4000
trenchgun,1500,600,15,15,10,25,0,0,0.67,750,1500
tranqgun,2000,0,17,0,0,10,1,0,1,500,4000
hunting,950,600,50,60,100,100,100,0,1,500,4000
skorpion,950,600,22,20,20,50,25,0,0.8,1250,2000
pkm,3200,300,20,20,100,100,100,0,1,500,4000







